"AcceptedSymbol","AcceptedSpecies","SynonymSymbol","Symbol","ScientificName","USDA_CName","Family","FamilyCommonName","GrowthHabit","Duration","Guild","Guild_PCLTEM","Origin"
"ASMI10","Astragalus missouriensis","NA","ASMI10","Astragalus missouriensis","Missouri milkvetch","Fabaceae","Pea family","Subshrub, Forb/herb","Perennial","forb","legume","N"
"ASOF","Asparagus officinalis","NA","ASOF","Asparagus officinalis","garden asparagus","Liliaceae","Lily family","Forb/herb","Perennial","forb","NA","I"
"ASOV","Asclepias ovalifolia","NA","ASOV","Asclepias ovalifolia","oval-leaf milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","summer","N"
"ASPL","Asplenium platyneuron","NA","ASPL","Asplenium platyneuron","ebony spleenwort","Aspleniaceae","Spleenwort family","Forb/herb","Perennial","fern","fern","N"
"ASPU","Asclepias pumila","NA","ASPU","Asclepias pumila","plains milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","summer","N"
"ASPU2","Asclepias purpurascens","NA","ASPU2","Asclepias purpurascens","purple milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","spring","N"
"ASRH2","Asplenium rhizophyllum","NA","ASRH2","Asplenium rhizophyllum","walking fern","Aspleniaceae","Spleenwort family","Forb/herb","Perennial","fern","fern","N"
"ASSE5","Astragalus sericoleucus","NA","ASSE5","Astragalus sericoleucus","silky milkvetch","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"ASSP","Asclepias speciosa","NA","ASSP","Asclepias speciosa","showy milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","spring","N"
"ASSP6","Astragalus spatulatus","NA","ASSP6","Astragalus spatulatus","tufted milkvetch","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"ASST","Asclepias stenophylla","NA","ASST","Asclepias stenophylla","slimleaf milkweed","Asclepiadaceae","Milkweed family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"ASSU3","Asclepias sullivantii","NA","ASSU3","Asclepias sullivantii","prairie milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","NA","N"
"ASSY","Asclepias syriaca","NA","ASSY","Asclepias syriaca","common milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","spring","N"
"ASTER","Aster","NA","ASTER","Aster","aster","Asteraceae","Aster family","NA","NA","forb","summer","N"
"ASTRA","Astragalus","NA","ASTRA","Astragalus","milkvetch","Fabaceae","Pea family","Forb/herb","	Perennial","forb","legume","N"
"ASTU","Asclepias tuberosa","NA","ASTU","Asclepias tuberosa","butterfly milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","spring","N"
"ASVE","Asclepias verticillata","NA","ASVE","Asclepias verticillata","whorled milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","spring","N"
"ASVI","Asclepias viridiflora","NA","ASVI","Asclepias viridiflora","green comet milkweed","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","summer","N"
"ASVI2","Asclepias viridis","NA","ASVI2","Asclepias viridis","green antelopehorn","Asclepiadaceae","Milkweed family","Forb/herb","Perennial","forb","spring","N"
"ATFI","Athyrium filix-femina","NA","ATFI","Athyrium filix-femina","common ladyfern","Dryopteridaceae","Wood Fern family","Forb/herb","Perennial","fern","fern","N"
"AUGR","Aureolaria grandiflora","NA","AUGR","Aureolaria grandiflora","largeflower yellow false foxglove","Scrophulariaceae","Figwort family","Forb/herb","Perennial","forb","NA","N"
"AUPE2","Aureolaria pedicularia","NA","AUPE2","Aureolaria pedicularia","fernleaf yellow false foxglove","Scrophulariaceae","Figwort family","Forb/herb","Annual","forb","NA","N"
"BAALM","Baptisia alba var. macrophylla","NA","BAALM","Baptisia alba var. macrophylla","largeleaf wild indigo","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"BAAU","Baptisia australis","NA","BAAU","Baptisia australis","blue wild indigo","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"BABRL2","Baptisia bracteata var. leucophaea","NA","BABRL2","Baptisia bracteata var. leucophaea","longbract wild indigo","Fabaceae","Pea family","Forb/herb","Perennial","forb","legume","N"
"BAPTI","Baptisia","NA","BAPTI","Baptisia","wild indigo","Fabaceae","Pea family","Forb/herb","	Perennial","forb","NA","N"
"BARO","Bacopa rotundifolia","NA","BARO","Bacopa rotundifolia","disk waterhyssop","Scrophulariaceae","Figwort family","Forb/herb","Perennial","forb","summer","N"
"BASC5","Bassia scoparia","KOSC","KOSC","Kochia scoparia","Summer-cypress","Chenopodiaceae","Goosefoot family","Forb/herb","Annual","forb","annual-biennial","I"
"BAVU","Barbarea vulgaris","NA","BAVU","Barbarea vulgaris","garden yellowrocket","Brassicaceae","Mustard family","Forb/herb","Biennial","forb","spring","I"
"BENI","Betula nigra","NA","BENI","Betula nigra","river birch","Betulaceae","Birch family","Tree","Perennial","woody","woody","N"
"BEPA","Betula papyrifera","NA","BEPA","Betula papyrifera","paper birch","Betulaceae","Birch family","Tree","Perennial","woody","NA","N"
"BESC","Berchemia scandens","NA","BESC","Berchemia scandens","Alabama supplejack","Rhamnaceae","Buckthorn family","Vine","	Perennial","vine","NA","N"
"BETH","Berberis thunbergii","NA","BETH","Berberis thunbergii","Japanese barberry","Berberidaceae","Barberry family","Shrub","Perennial","woody","spring","I"
"BETUL","Betula","NA","BETUL","Betula","birch","Betulaceae","Birch family","Tree","Perennial","woody","NA","N"
"BEVU","Berberis vulgaris","NA","BEVU","Berberis vulgaris","common barberry","Berberidaceae","Barberry family","Shrub","Perennial","woody","spring","I"
"BIAR","Bidens aristosa","NA","BIAR","Bidens aristosa","bearded beggarticks","Asteraceae","Aster family","Forb/herb","Annual, Biennial","forb","NA","N"
"BIBI7","Bidens bipinnata","NA","BIBI7","Bidens bipinnata","Spanish needles","Asteraceae","Aster family","Forb/herb","Annual","forb","annual-biennial","N"
"BICA","Bignonia capreolata","NA","BICA","Bignonia capreolata","crossvine","Bignoniaceae","Trumpet-creeper family","Vine","	Perennial","vine","NA","N"
"BIDEN","Bidens","NA","BIDEN","Bidens","beggarticks","Asteraceae","Aster family","Forb/herb","NA","forb","annual-biennial","N"
"BLHI","Blephilia hirsuta","NA","BLHI","Blephilia hirsuta","hairy pagoda-plant","Lamiaceae","Mint family","Forb/herb","Perennial","forb","summer","N"
"BOCU","Bouteloua curtipendula","NA","BOCU","Bouteloua curtipendula","sideoats grama","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"BOCY","Boehmeria cylindrica","NA","BOCY","Boehmeria cylindrica","smallspike false nettle","Urticaceae","Nettle family","Forb/herb","Perennial","forb","summer","N"
"BODA2","Bouteloua dactyloides","BUDA","BUDA","Buchloe dactyloides","buffalograss","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"BODI2","Botrychium dissectum","NA","BODI2","Botrychium dissectum","cutleaf grapefern","Ophioglossaceae","Adder's-tongue family","Forb/herb","Perennial","fern","fern","N"
"BOGR2","Bouteloua gracilis","NA","BOGR2","Bouteloua gracilis","blue grama","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"BOHI2","Bouteloua hirsuta","NA","BOHI2","Bouteloua hirsuta","hairy grama","Poaceae","Grass family","Graminoid","Perennial","grass","warmgrass","N"
"BOLA2","Bothriochloa laguroides","NA","BOLA2","Bothriochloa laguroides","silver beardgrass","Poaceae","Grass family","Graminoid","Perennial","grass","NA","N"
"BOMU","Botrychium multifidum","NA","BOMU","Botrychium multifidum","leathery grapefern","Ophioglossaceae","Adder's-tongue family","Forb/herb","Perennial","fern","fern","N"
"BOVI","Botrychium virginianum","NA","BOVI","Botrychium virginianum","rattlesnake fern","Ophioglossaceae","Adder's-tongue family","Forb/herb","Perennial","fern","fern","N"
"BRAR5","Bromus arvensis","BRJA","BRJA","Bromus japonicus","Japanese chess","Poaceae","Grass family","Graminoid","Annual","forb","annual-biennial","I"
"BRER2","Brachyelytrum erectum","NA","BRER2","Brachyelytrum erectum","bearded shorthusk","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"BREU","Brickellia eupatorioides","NA","BREU","Brickellia eupatorioides","false boneset","Asteraceae","Aster family","Subshrub, Forb/herb","Perennial","forb","summer","N"
"BRGR","Brickellia grandiflora","NA","BRGR","Brickellia grandiflora","tasselflower brickellbush","Asteraceae","Aster family","Subshrub, Forb/herb","Perennial","forb","NA","N"
"BRIN2","Bromus inermis","NA","BRIN2","Bromus inermis","smooth brome","Poaceae","Grass family","Graminoid","Perennial","grass","NA","I"
"BRKA2","Bromus kalmii","NA","BRKA2","Bromus kalmii","arctic brome","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"BRLA4","Bromus latiglumis","NA","BRLA4","Bromus latiglumis","earlyleaf brome","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"BROMU","Bromus","NA","BROMU","Bromus","brome","Poaceae","Grass family","Graminoid","NA","grass","coolgrass","I"
"BRPU6","Bromus pubescens","NA","BRPU6","Bromus pubescens","hairy woodland brome","Poaceae","Grass family","Graminoid","Perennial","grass","coolgrass","N"
"BRRA2","Bromus racemosus","NA","BRRA2","Bromus racemosus","bald brome","Poaceae","Grass family","Graminoid","Annual","grass","coolgrass","I"
"BRST2","Bromus sterilis","NA","BRST2","Bromus sterilis","poverty brome","Poaceae","Grass family","Graminoid","Annual","grass","NA","I"
"BRTE","Bromus tectorum","NA","BRTE","Bromus tectorum","cheatgrass","Poaceae","Grass family","Graminoid","Annual","forb","annual-biennial","I"
"BUAR3","Buglossoides arvensis","NA","BUAR3","Buglossoides arvensis","corn gromwell","Boraginaceae","Borage family","Forb/herb","Annual","forb","annual-biennial","I"
"CAAL","Callirhoe alcaeoides","NA","CAAL","Callirhoe alcaeoides","light poppymallow","Malvaceae","Mallow family","Forb/herb","Perennial","forb","ephemeral","N"
"CAAL27","Carya alba","NA","CAAL27","Carya alba","mockernut hickory","Juglandaceae","Walnut family","Tree","Perennial","woody","NA","N"
"CAAM18","Campanulastrum americanum","NA","CAAM18","Campanulastrum americanum","American bellflower","Campanulaceae","Bellflower family","Forb/herb","Annual","forb","annual-biennial","N"
